,Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,W_min_sum,Total Comsumption
1928,2013-03-22 09:00:00,1.64440017134,3.95653804646,0.0,3.93200908171,0.0,0.098584456701,0.098584456701,0.098584456701,0.147491386046,0.0317735565319,0.275218193109,0.356115477877,0.718573101078,0.0,11.357872384254897
1929,2013-03-22 10:00:00,1.47381451407,3.264502214,0.0,3.24362608146,0.0,0.0825337411922,0.0825337411922,0.0825337411922,0.0761245853185,0.016399256479,0.336436577975,0.303083068842,0.64259328426,0.0,9.604180805981102
1930,2013-03-22 11:00:00,1.38101560144,2.90209400892,0.0,2.88072690431,0.0,0.0744304546138,0.0744304546138,0.0744304546138,0.0618512235796,0.0133243957819,0.351641232033,0.310211080809,0.552913214619,0.0,8.6770690253339
1931,2013-03-22 12:00:00,1.28883325345,1.81448418751,0.0,1.79311053661,0.0,0.0468554177116,0.0468554177116,0.0468554177116,0.0618512235796,0.0133243957819,0.366855520645,0.310306120969,0.472996574763,0.0,6.2623280664433
1932,2013-03-22 13:00:00,1.19778840587,1.27314478634,0.0,1.25213118162,0.0,0.0330241394803,0.0330241394803,0.0330241394803,0.0618512235796,0.0133243957819,0.357197296466,0.305078912193,0.410668438364,0.0,4.970257058655401
1933,2013-03-22 14:00:00,1.12411671154,0.702541249603,0.0,0.68080100622,0.0,0.0180800631249,0.0180800631249,0.0180800631249,0.0618512235796,0.0133243957819,0.324743059292,0.315628369904,0.373845599858,0.0,3.6510918051531993
1934,2013-03-22 15:00:00,1.0716779173,0.385306119184,0.0,0.362341718767,0.0,0.00967173332372,0.00967173332372,0.00967173332372,0.0618512235796,0.0133243957819,0.299663707888,0.333400879742,0.337121976987,0.0,2.8937031392006594
1935,2013-03-22 16:00:00,1.11361230879,0.328940438536,0.0,0.304699510729,0.0,0.00815020364062,0.00815020364062,0.00815020364062,0.0713668007277,0.0153743034853,0.308214938409,0.351933710857,0.341928351671,0.0,2.8605209741268602
1936,2013-03-22 17:00:00,1.31372395068,0.281812283085,0.0,0.253139514034,0.0,0.00677320522529,0.00677320522529,0.00677320522529,0.109429077454,0.0235739257181,0.354668497169,0.41627589888,0.386359346234,0.0,3.1593021089299698
1937,2013-03-22 18:00:00,1.72847450277,0.767814078144,0.0,0.732981246153,0.0,0.0195299582576,0.0195299582576,0.0195299582576,0.218858154908,0.0471478685982,0.438965378865,0.505708689028,0.481620453111,0.0,4.980160246349999
